type,id_or_name,score
artist,FLX,11.399999999999999
artist,Kastuvas,7.8
artist,DV7,6.5
artist,AVAION,6.4
artist,Kiki,5.2
artist,Dawid Podsiadło,5.0
artist,BUNT.,4.4
artist,Aaron Hibell,4.4
artist,Danell Arma,3.9000000000000004
artist,Soda,3.9000000000000004
artist,FRHAD,3.9000000000000004
artist,Xd,3.9000000000000004
artist,Gadyca,3.9000000000000004
artist,Naarly,3.8000000000000003
artist,Duke Dumont,3.8000000000000003
genre,slap house,61.19999999999995
genre,stutter house,31.799999999999994
genre,deep house,25.799999999999997
genre,afro house,16.6
genre,house,15.599999999999998
genre,melodic house,13.2
genre,g-house,13.000000000000002
genre,hypertechno,9.2
genre,afro tech,9.0
genre,drum and bass,7.8
genre,melodic techno,4.0
genre,progressive house,4.0
genre,tech house,3.8000000000000003
genre,3 step,3.2
genre,latin house,3.2
genre,tribal house,3.2
genre,frenchcore,2.6
genre,techengue,2.2
genre,edm,2.2
genre,trance,2.2
